INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('cba641ac-9458-49ad-bb8c-2ab4225cd162', '7934e6b9-1c78-4cbd-87a2-446095d41e40', 'endbsnjlb31DFQeWcQeYDJpNaogQS4qMN6iWRLn9', '0'),
('e79e9ad9-30bc-4a60-b674-82e4a8a8589a', '5883099d-52e5-4ef6-867c-4f502eab30c1', 'bhrU5fznDQ8mI2m8tUPMftw20RH04WyK8vYuoYpc', '0'),
('bb0cd7e8-9748-45f2-9194-91cb6b858215', 'c080b4e8-2faf-49fb-942d-c3d276acd889', 'WSykEqRvY3XOfqdhumddTaRId8p2Jk6ehALwtMNS', '0'),
('948b6335-2ee5-4471-9dc2-cdd84c28cfbb', '8f7ff9a5-2408-472f-8449-904afe9d238f', 'WWYkxfRq7VDvtpdcBZlxotNw0YvAxBedLsZafN5l', '0'),
('ecec5ef8-8084-4ee6-b59a-98417b0d2ff8', 'ed6e6e26-6b48-4cc6-a24c-a6d88ff309e3', 'wAFxj7aHUIfN3Q5akatUpG1hcJGbHRHgBMFyo9q8', '0'),
('7b5f7fba-44c4-49cb-a962-97a1d27ff044', 'd5c7115f-1e3b-4058-8a4e-df2c59f3879a', 'vbg0XvAcwzkOgHtZBtV6Nh62np1N65vJMUbg5LkO', '0'),
('154610ea-f2a1-4f07-90f3-08673700bbc1', 'cf2440c4-2eb0-44cb-bc2b-97e8c76ff646', 'l6ppfDAkN6B5nUAR4c8golTCt3mj5ddFUmGW7fQr', '0'),
('a9383ef5-1cbc-456f-b788-73b27746a3ea', '1b942cf9-9fc3-4a3f-8cd7-c246668aaeb7', 'erFdF1EOFFQ3KZJY2lhjCMUnJ6oelB82Fhswe060', '0'),
('7617350b-81a7-4888-a346-eda884e1cebc', 'b92e4994-51af-4ae4-bb27-9b29584b311e', '47TmJQIWyfzki367kETdEx9HomP7mmhpeJIDOHjI', '0'),
('6bf18a6f-ee81-4e8b-9fdf-8745070b315b', '7c6ae425-d89f-4faa-92a9-86077b435ab6', 'oLY7Z2a92IRtDWZyLZZcNJEqMoEy6QgEHOHf4F8m', '0'),
('eb1dd092-fae6-47b7-a0c5-dbcec6894b06', 'd854b11a-c91b-460c-978f-83a9f2f58fb9', '9xuB6589WFxbknsHR18b5QLBTLLQyMhlWEEDu4As', '0'),
('3eac1ab8-0fe8-484e-bbda-00050378be79', 'b1916d1d-2ec1-4ea5-97e2-2d9101804f0b', 'U7dlpmDKDzfviSuvaEgZIGight2oKVObfpS8OVr2', '0'),
('86c49a98-8f53-4b32-84cb-d466a08aefff', 'd41719cb-be48-4802-ba6b-b6ab785e0cfb', '53J2F1cUJkgcwxfjLHxEupChp1Hj37yMpbsiTS8K', '0'),
('7e1c5c6b-661e-4b3c-8bcf-7b49cd052683', 'bad35b09-90cb-410a-9038-0d9171125d12', 'bSNTsEz3xU1LmumwL1UqwBTqIgWCXXnmagjM3EU5', '0'),
('2ead0405-29e8-42fe-a2bc-1ac44a9e3ebc', '27037c32-6d47-4a16-ae2a-a9f9b2fac6b8', '5hs5l4EyeRV9L34A3sTb7PuA5XXZZMpwZ70U6jQe', '0'),
('f709a386-102b-458d-a8ce-ea378781ce6f', 'a210530e-2b34-4e2d-b4e0-661fb1f7bfc2', 'eM5dbXSaUO7hlnYguQTda70oFpPS8Kaf29IktJ4G', '0'),
('d4b99a8e-da17-4d64-859f-b7c80be9bb5f', '1e940300-e881-468f-935b-74981e97eea3', 'APtYdNd00zi7MHZakkREA89RvjRteh2t8lkyQ5mu', '0'),
('54023e25-ba6e-4ff2-bb46-77ed1121f41e', '4d8f2aaa-2d11-4f4b-83c8-023daa9274ad', '8f5EqpdXRJI76Eun9X0Ics9Gkj3DKwZv7J50M7CJ', '0'),
('f3b54bd9-a47c-4e7b-a965-5a018aa7da39', '906506cd-a41f-4b06-a313-5915866e16ab', '3wfJR70ysmCxWgNXUiV2oTDF4N8R49Z1rovvn4x4', '0'),
('f3dba924-dacb-47aa-a155-7b894857286d', '98ab45a2-bc23-43fe-86f4-8c9bb88f22bc', 'chnVYaYOjqrexjFoqpOVDguJyDassn8KfRbeTB7V', '0'),
('586e8860-2d23-404a-9a86-d2cbc901a29b', '070b4a07-5c40-4af3-8b13-06db3d93cfde', 'ILSJRiMzayGf8PInURyorX8RaYUrJoL2bjVy1tt5', '0'),
('29d3ccac-ec05-4b5d-ade7-a91883f0d98f', '1ac6de5b-1594-4262-86fc-82ed1a7f9b23', 'dJgxhX1xuqWg3c8hA8MB12JTZMrpceH8OOuPFBnw', '0'),
('a3507f5a-5540-491b-a103-e321904507bb', 'b1e9c9d7-42fd-42e9-bfd1-af9840977984', 'FsT1cKe3kcv8LbmtPezKWtEwNDrnd5d0X0SElyXi', '0'),
('826c8776-dc48-4e46-afcf-3966bef45fee', '00fe4658-e9ef-40cd-a430-b54aed88dabd', 'fHCSdRwA6AKoDD48o6ekoKqYsncThCpDoKaIqlC0', '0'),
('7e3ec221-1314-48bd-806e-10d6d55751a3', '03acdc4a-ca56-4cc4-abbf-fdac975411d3', 'LC1RdmQbCvbxytKTfxVZZIMo6GNDWcCW46qeBlbI', '0'),
('e460b9e7-76dc-4fd8-bc66-3d3cd1b29e4b', '9613aae5-7767-4506-812f-c8ccc3cc8691', 'C7kRvIpqMwqzGBOvp5sbt4cz7g4H2AZOV70l0Zx8', '0'),
('31df3dd4-0791-43fa-aa7f-3f03b57b2e34', 'eba38f06-63d9-4d9c-9b3b-c927f0b05ebd', 'maV9yC8SHCuuBVwsuJ1bX7AyI5izFjRCYmKbhIkv', '0'),
