INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('4f59f6be-861b-47a1-a47d-ec70ed1b5981', '0a4d7ae6-969f-449f-b695-4e5553c7654b', 'HluuQqpp2DEFTx2Kqb2AQzfLl5GI2ciO3wsO8YC0', '0'),
('066bbe80-b5d2-4f51-aaef-bfc62015aa51', 'ba730ed0-ff01-406b-9156-a857fdcb75c7', 'h1gwLEW2UlSouqZdQ6nB2J34cMdV7btglAB2YE8P', '0'),
('f434e231-0138-4712-81c3-84ef39c9f068', '3a9b7628-f3ab-4f08-af02-b346ed25f22e', 'LUbBOOIGFT6zYRB2l79fujOvBPTWiFibqEqnTWX9', '0'),
('97157dd3-db60-4b11-a00d-09dd7155b890', '82df93c5-a16c-433c-850a-61c97fbf6b96', 'hBivv5Fg7L3d8BVAYqtEsp3ATEk70HUBht4LxknA', '0'),
('0a38b210-61dc-442b-a1ca-8a1ec4279aaf', 'd6156d2b-d3cc-42f4-9fb1-c75f8b1c8a71', 'ZoS3TFr0Rg0JRgkASJrN0QvqE8J0vm2qcpgBYd5X', '0'),
('23801bdf-fa33-493e-b262-bd209414d779', 'eddc40e5-75b0-484a-a7d8-0b5fa4cc1cd3', '16I9SBTN2Ap686wt9abcIgNNaXMCpgc4OQXjDh1S', '0'),
('d773a8fd-71d6-4c83-a26f-0016416ff07b', '84cd44d9-2988-46e5-9f59-031d4613525a', 'EnwOkJHV2udA5Xb0EjXC0leL5zIfXjOQHjcLYuG7', '0'),
('62effe9a-0838-4a2e-a8ed-cb942bf4ae77', 'fb82fe8b-a906-4970-9057-62d100a3cfe7', 'njkVxl6lQufzSOueHlP4fbchfyJv4iR75bYSy3Ql', '0'),
('ca0f7623-38de-4435-9188-6cc84e770936', '78da69d3-f94a-4373-8ede-dfa711026ed5', '8tmsZxHaQqKV3907ERg138xBeniIi5Y2K0J2WTju', '0'),
('14dcfd51-b371-4ee0-848c-aab2ec8b2fd5', '1a844637-3644-4e29-b7e2-9cf461ca70eb', 'Z6PMdfem3oHKGhBhZBloZLjii9wu52VJmNj4TOk3', '0'),
('deaff34e-c564-4c09-be2d-468ced2a6e5f', '472a90aa-ed92-4731-ba69-ad72125bb17d', 'bcloGJbdIEwPElCVOLWY7XdjieZcNptLZHQ9O1kD', '0'),
('4c0e3022-093d-40e7-adb8-b99987f020c9', '6e49292c-b7dc-43ba-8351-d90f47bd1114', 'iDKPYXUFhAdZxPzEmuH4ek95yoF9GgC31viFqvbk', '0'),
